"OutphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_021.tcf]","Time (h)","V 2 [OutphaseC4_021]","V 3 [OutphaseC4_021]","V 4 [OutphaseC4_021]","V 5 [OutphaseC4_021]","V 6 [OutphaseC4_021]","V 7 [OutphaseC4_021]","V 8 [OutphaseC4_021]","V 9 [OutphaseC4_021]","V 10 [OutphaseC4_021]","V 11 [OutphaseC4_021]","V 12 [OutphaseC4_021]","V 13 [OutphaseC4_021]","V 14 [OutphaseC4_021]","V 15 [OutphaseC4_021]","V 16 [OutphaseC4_021]","V  1 [OutphaseC4_021]"
          83,        0.683333,          2.0764,          2.4101,          2.5767,          2.0544,          2.0320,          2.7741,          0.7918,          1.1913,          2.0952,          2.4789,          0.5293,          1.3889,          2.1344,          3.2072,          5.3320,          1.0922
          84,        0.691667,          2.0763,          2.4100,          2.5767,          2.0543,          2.0320,          2.7741,          0.7920,          1.1908,          2.0952,          2.4789,          0.5297,          1.3882,          2.1345,          3.2073,          5.3321,          1.0921
          85,        0.700000,          2.0763,          2.4101,          2.5768,          2.0541,          2.0321,          2.7742,          0.7922,          1.1903,          2.0952,          2.4788,          0.5302,          1.3876,          2.1345,          3.2073,          5.3319,          1.0921
          86,        0.708333,          2.0763,          2.4101,          2.5768,          2.0540,          2.0321,          2.7741,          0.7925,          1.1898,          2.0953,          2.4786,          0.5306,          1.3871,          2.1345,          3.2073,          5.3320,          1.0921
          87,        0.716667,          2.0764,          2.4102,          2.5768,          2.0538,          2.0321,          2.7741,          0.7927,          1.1894,          2.0952,          2.4786,          0.5310,          1.3867,          2.1345,          3.2072,          5.3321,          1.0921
          88,        0.725000,          2.0763,          2.4101,          2.5769,          2.0537,          2.0321,          2.7741,          0.7928,          1.1889,          2.0953,          2.4785,          0.5316,          1.3862,          2.1346,          3.2073,          5.3320,          1.0922
          89,        0.733333,          2.0763,          2.4101,          2.5769,          2.0535,          2.0321,          2.7740,          0.7930,          1.1884,          2.0953,          2.4784,          0.5320,          1.3855,          2.1346,          3.2073,          5.3320,          1.0922
          90,        0.741667,          2.0763,          2.4101,          2.5769,          2.0534,          2.0321,          2.7741,          0.7932,          1.1880,          2.0953,          2.4784,          0.5324,          1.3849,          2.1346,          3.2073,          5.3320,          1.0921
          91,        0.750000,          2.0763,          2.4100,          2.5770,          2.0533,          2.0322,          2.7741,          0.7934,          1.1877,          2.0954,          2.4783,          0.5328,          1.3843,          2.1346,          3.2073,          5.3320,          1.0921
          92,        0.758333,          2.0763,          2.4100,          2.5770,          2.0531,          2.0322,          2.7741,          0.7936,          1.1873,          2.0954,          2.4782,          0.5332,          1.3839,          2.1347,          3.2073,          5.3321,          1.0921
